region,value
36101.0,8
36075.0,27
36055.0,240
36097.0,5
36035.0,8
36105.0,19
36071.0,89
36019.0,26
36007.0,96
36083.0,58
36029.0,263
36057.0,6
36021.0,19
36033.0,7
36109.0,72
36009.0,5
36063.0,48
36031.0,33
36051.0,23
36025.0,17
36085.0,59
36123.0,7
36079.0,35
36065.0,30
36095.0,2
36017.0,7
36067.0,148
36099.0,4
36011.0,11
36003.0,9
36049.0,2
36027.0,72
36039.0,16
36047.0,455
36015.0,11
36111.0,52
36043.0,6
36073.0,5
36107.0,8
36061.0,893
36093.0,50
36121.0,2
36103.0,704
36091.0,82
36119.0,829
36023.0,31
36005.0,949
36115.0,10
36001.0,505
36069.0,37
36045.0,18
36059.0,733
36087.0,108
36081.0,337
36117.0,14
36113.0,16
36053.0,19
36037.0,10
36077.0,22
36013.0,35
