region,value
36001.0,31
36003.0,6
36005.0,26
36007.0,8
36009.0,8
36011.0,4
36013.0,12
36015.0,4
36017.0,5
36019.0,7
36021.0,7
36023.0,5
36025.0,8
36027.0,17
36029.0,31
36031.0,8
36033.0,9
36035.0,3
36037.0,5
36039.0,4
36041.0,2
36043.0,8
36045.0,13
36047.0,46
36049.0,4
36051.0,6
36053.0,8
36055.0,80
36057.0,7
36059.0,17
36061.0,44
36063.0,7
36065.0,15
36067.0,9
36069.0,13
36071.0,17
36073.0,7
36075.0,5
36077.0,4
36079.0,5
36081.0,23
36083.0,21
36085.0,2
36087.0,9
36089.0,10
36091.0,11
36093.0,12
36095.0,5
36097.0,3
36099.0,1
36101.0,11
36103.0,24
36105.0,7
36107.0,7
36109.0,7
36111.0,15
36113.0,6
36115.0,9
36117.0,8
36119.0,29
36121.0,3
36123.0,4
