region,value
36000,19795791
36001,309381
36003,47462
36005,1455444
36007,196567
36009,77922
36011,78288
36013,130779
36015,87071
36017,48844
36019,81251
36021,61509
36023,48494
36025,46053
36027,295754
36029,922578
36031,38478
36033,50660
36035,53992
36037,58937
36039,47625
36041,4712
36043,63100
36045,117635
36047,2636735
36049,26957
36051,64717
36053,71849
36055,749600
36057,49642
36059,1361350
36061,1644518
36063,212652
36065,232500
36067,468463
36069,109561
36071,377647
36073,41582
36075,120146
36077,60636
36079,99042
36081,2339150
36083,160266
36085,474558
36087,326037
36089,111007
36091,226249
36093,154604
36095,31330
36097,18186
36099,34833
36101,97631
36103,1501587
36105,74877
36107,49453
36109,104926
36111,180143
36113,64688
36115,62230
36117,91446
36119,976396
36121,41013
36123,25048
